,mouse_id,spheres_extrap,spheres,autofluo_extrap,autofluo,inj_volume
0,33,57.6435,11,0,0,20
1,41,3259.67,445,3.32024,0.453269,20
2,63,4564.95,794,4.32434,0.752149,15
3,69,3787.27,566,5.5928,0.835833,15
4,83,105.84,22,0.224347,0.0466327,10
5,85,1227.2,223,1.021,0.185531,11
6,86,401.981,85,0.316203,0.066862,11
7,89,147.385,32,0.18507,0.040182,10
8,90,2081.68,461,2.19123,0.485261,11
9,91,30.2646,7,0.076151,0.0176132,10
10,93,164.044,38,0.047821,0.0110775,10
11,95,71.252,16,0.143524,0.032229,10
12,108,55.616,18,,,15
13,110,61.8407,19,,,15
14,111,38.9562,12,,,15
15,112,224.147,72,,,15
16,113,249.409,78,,,15
17,114,323.075,90,,,15
18,115,41.1545,12,,,sham
19,116,84.8064,27,,,15
20,121,256.04,86,,,15
21,122,18.5548,6,,,sham
