,mouse_id,early,late,spheres
0,33,0.5986742465617841,0.8245873405170244,57.6435
1,41,0.3550372465567088,0.4121214492894274,3259.67
2,63,0.23524863776937802,0.05089450076088558,4564.95
3,69,0.47261841193965,0.18277930931461087,3787.27
4,83,1.40486143925914,0.9759528099896675,105.84
5,85,0.4185152319950008,1.0089064208717389,1227.2
6,86,0.5441737352275428,0.7540118340942374,401.981
7,89,0.27714852131557616,0.7356156997663594,147.385
8,90,0.41450531545488545,1.474870452481436,2081.68
9,91,1.1746298541535816,0.9756108984935008,30.2646
10,93,0.8332815995120779,0.5546293819710756,164.044
11,95,0.7782688519806434,0.8466034822362183,71.252
12,108,0.942721476298821,0.3916427601464068,55.616
13,110,0.16110691144708422,0.32846146058315334,61.8407
14,111,0.9771558265400679,0.580254540408178,38.9562
15,112,0.9816396334380243,0.7859247945618035,224.147
16,113,0.4184639869967153,1.242377501608479,249.409
17,114,1.7284184864646546,0.9407245873582939,323.075
18,115,1.7397717402060495,0.6887343456222718,41.1545
19,116,1.1944194786279503,0.7592456343188336,84.8064
20,121,0.5487919137476895,0.708004737670174,256.04
21,122,0.951719917547024,0.9139397062612729,18.5548
